,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
205,802,Clouds,scattered clouds,03d,stations,10000,1723281458,19800,Saharanpur,200,77.5452,29.9679,33.3,39.92,33.3,33.3,1000,59,1000,970,5.42,138,6.1,42,IN,1723248863,1723296964,0,0,2024-08-10 09:17:38
206,804,Clouds,overcast clouds,04d,stations,10000,1723281458,19800,Khairabad,200,80.7509,27.5988,30.1,35.28,30.1,30.1,1001,70,1001,986,2.28,179,2.25,100,IN,1723248307,1723295981,0,0,2024-08-10 09:17:38
207,500,Rain,light rain,10d,stations,10000,1723281458,19800,Shahjahanpur,200,79.8793,27.8741,30.86,37.82,30.86,30.86,1001,72,1001,984,3.36,164,4.41,98,IN,1723248492,1723296215,0,0,2024-08-10 09:17:38
208,501,Rain,moderate rain,10d,stations,9293,1723281458,19800,Etawah,200,79.0149,26.7582,31.61,38.29,31.61,31.61,1001,67,1001,987,3.28,247,3.79,99,IN,1723248797,1723296324,0,0,2024-08-10 09:17:38
209,804,Clouds,overcast clouds,04d,stations,10000,1723281008,19800,Varanasi,200,83.0116,25.319,31.01,35.38,31.01,31.01,1001,62,1001,991,2.62,280,3.11,100,IN,1723247961,1723295243,1,9138,2024-08-10 09:10:08
210,804,Clouds,overcast clouds,04d,stations,8614,1723281458,19800,Dehra Dun,200,78.0339,30.3244,24.27,24.89,24.27,24.27,1003,82,1003,931,1.96,201,2.7,89,IN,1723248713,1723296880,1,9162,2024-08-10 09:17:38
211,804,Clouds,overcast clouds,04d,stations,5478,1723281458,19800,Koch Bihar,200,89.5229,26.4835,30.35,37.27,30.35,30.35,1002,75,1002,996,1.06,194,1.73,100,IN,1723246298,1723293780,0,0,2024-08-10 09:17:38
212,804,Clouds,overcast clouds,04d,stations,10000,1723281459,19800,Jaykaynagar,200,86.9833,23.6833,28.82,30.59,28.82,28.82,1000,59,1000,987,2.48,231,2.7,89,IN,1723247143,1723294154,1,9144,2024-08-10 09:17:39
213,803,Clouds,broken clouds,04d,stations,10000,1723281459,19800,Barddhaman,200,87.8569,23.2557,33.54,40.54,33.54,33.54,1001,59,1001,997,5.67,202,6.15,68,IN,1723246968,1723293909,0,0,2024-08-10 09:17:39
214,500,Rain,light rain,10d,stations,10000,1723281459,19800,Bhatpara,200,88.4011,22.8664,27.94,29.93,27.94,27.94,1001,65,1001,999,5.39,194,5.99,83,IN,1723246869,1723293747,1,9114,2024-08-10 09:17:39
215,502,Rain,heavy intensity rain,10d,stations,10000,1723281459,19800,Haldia,200,88.0583,22.0253,30.7,37.68,30.7,30.7,1002,73,1002,1001,5.8,200,6.88,100,IN,1723247019,1723293762,0,0,2024-08-10 09:17:39
216,200,Thunderstorm,thunderstorm with light rain,11d,stations,2500,1723281459,19800,Howrah,200,88.3186,22.5769,27.97,34.36,27.97,27.97,1001,94,1001,1000,2.57,120,0.0,100,IN,1723246913,1723293744,1,9114,2024-08-10 09:17:39
217,501,Rain,moderate rain,10d,stations,2500,1723281459,19800,Howrah,200,88.3186,22.5769,27.97,34.36,27.97,27.97,1001,94,1001,1000,2.57,120,0.0,100,IN,1723246913,1723293744,1,9114,2024-08-10 09:17:39
218,501,Rain,moderate rain,10d,stations,2500,1723281005,19800,Bara Bazar,200,88.3645,22.5585,27.97,34.36,27.97,27.97,1001,94,1001,1000,2.57,120,0.0,100,IN,1723246903,1723293731,1,9114,2024-08-10 09:10:05
219,200,Thunderstorm,thunderstorm with light rain,11d,stations,2500,1723281005,19800,Bara Bazar,200,88.3645,22.5585,27.97,34.36,27.97,27.97,1001,94,1001,1000,2.57,120,0.0,100,IN,1723246903,1723293731,1,9114,2024-08-10 09:10:05
220,501,Rain,moderate rain,10d,stations,10000,1723281459,19800,Krishnanagar,200,88.4907,23.4058,32.8,39.8,32.8,32.8,1001,65,1001,999,4.75,189,5.55,99,IN,1723246804,1723293770,0,0,2024-08-10 09:17:39
221,501,Rain,moderate rain,10d,stations,9356,1723281459,19800,Siliguri,200,88.4285,26.71,29.8,36.8,29.8,29.8,1002,81,1002,988,1.9,109,2.39,100,IN,1723246542,1723294062,0,0,2024-08-10 09:17:39
